Insulin-like peptide receptor,K05087
Xenotropic and polytropic retrovirus receptor 1,K24195
Riboflavin transporter 2,K14620
Pyridoxamine 5'-phosphate oxidase C1952.08c homolog,nan
Ribosomal protein S6 kinase-related protein,K17529
Probable DNA-binding protein creA,nan
Very-long-chain 3-oxoacyl-CoA reductase,nan
Probable E3 ubiquitin-protein ligase ARI10,K12818
Sarcalumenin,K12469
UPF0193 protein EVG1 homolog,nan
Homeobox protein SIX4,K15615
BTB/POZ domain-containing protein 1,K10614
General transcription factor II-I repeat domain-containing protein 2A,K04515
Transcription factor BYE1,K03145
Probable 2-dehydropantoate 2-reductase,nan
Putative uncharacterized protein,K00445
Putative pyruvyl transferase EpsO,nan
Putative protein p9,nan
Hepatoma-derived growth factor,K16641
Putative O-methyltransferase MAV_1364,nan
Putative uncharacterized protein,K20164
Sulfotransferase 1 family member D1,K01025
Probable transporter MCH2,K08187
"Inositol 1,4,5-trisphosphate receptor type 1",K04959
Disintegrin and metalloproteinase domain-containing protein 33,K16068
Probable TonB-dependent receptor NMB0964,nan
"Alpha carbonic anhydrase 1, chloroplastic",K01672
Receptor expression-enhancing protein 1,K17338
ICEBs1 integrase,nan
Glycine betaine transporter 2,nan
Ceropsin,K04255
N-substituted formamide deformylase,nan
Uncharacterized protein ORFC-like in prophage region,nan
Pro-Pol polyprotein,K16573
Lipoprotein NlpI,nan
Putative uncharacterized protein,K01176
Melatonin receptor type 1B,K04205
ATP-dependent DNA helicase RRM3,K15255
Cellulase 1,nan
Extended synaptotagmin-1,K21956
Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD,nan
Cysteine sulfinic acid decarboxylase,K01594
Megourin-1,nan
Transcription activator of gluconeogenesis ERT1,nan
"Hexaprenyl pyrophosphate synthase, mitochondrial",K12505
Probable RNA-directed DNA polymerase from transposon BS,K10091
Uncharacterized protein YfbK,K24513
Peptidyl-prolyl cis-trans isomerase,K09565
N-acetyltransferase eso1,nan
Cytochrome b5,K23490
Elongation of very long chain fatty acids protein 7,K12868
Non-reducing polyketide synthase andM,nan
Alpha/beta hydrolase domain-containing protein 17C,K01076
Cyclin-dependent kinase G-2,K08818
L-2-aminoadipate reductase large subunit,K00142
Putative uncharacterized protein,K03962
ATP-dependent translocase ABCB1,K05658
3-deoxy-D-manno-octulosonic acid transferase,nan
Nucleolar complex protein 2,nan
Putative uncharacterized protein,K01988
Hydrolase in pqqF 5'region,nan
Tyrosine-protein phosphatase non-receptor type 11,K07293
Neuronal PAS domain-containing protein 2,K09026
Cell division control protein 2 homolog,K08811
Prostatic acid phosphatase,K19283
Retrovirus-related Pol polyprotein from type-1 retrotransposable element R1 2 (Fragment),K14530
"KH domain-containing, RNA-binding, signal transduction-associated protein 3",K14942
Protein YmfN,nan
Pre-mRNA cleavage factor Im 25 kDa subunit 2,K14397
Putative uncharacterized protein,K07969
Tyrosine-protein phosphatase non-receptor type 12,K18024
Phenylalanine ammonia-lyase,K10775
Zinc metalloproteinase nas-1,K08606
Signal recognition particle subunit srp14,nan
Cytochrome b561 homolog 2,nan
Putative uncharacterized protein,K03359
Podocan-like protein 1,K20230
Carbonic anhydrase 1,K01672
Protein spaetzle 3,K20694
D-galactonate dehydratase family member ECAG_02205,K12661
Propanediol dehydratase large subunit,nan
Uridine kinase,K00876
Tyrosine-protein phosphatase 1,K07293
Coiled-coil domain-containing protein 85A,K13864
CBL-interacting serine/threonine-protein kinase 16,nan
Repeat element protein,nan
tRNA/tmRNA (uracil-C(5))-methyltransferase,K17809
Target of rapamycin complex subunit LST8,K08266
Putative uncharacterized protein,K13299
"Putative quercetin 2,3-dioxygenase PA1210",nan
Ubiquitin conjugation factor E4 A,K10596
Thiosulfate sulfurtransferase,K01011
Protein kinase C zeta type,K06069
Putative hemin import ATP-binding protein HrtA,K05648
Immunoglobulin superfamily DCC subclass member 4,K22657
Uncharacterized protein YmaD,nan
Glycine--tRNA ligase alpha subunit,K02988
DNA-directed RNA polymerase subunit omega,nan
tRNA (cytidine(32)-2'-O)-methyltransferase non-catalytic subunit TRM732,K24169
Antichymotrypsin-2,K23412
Transmembrane protein 117,nan
Putative acid--amine ligase YgiC,K09877
Mediator of RNA polymerase II transcription subunit 31,nan
Testis-specific chromodomain protein Y 1,K00653
"cAMP-specific 3',5'-cyclic phosphodiesterase 7B",K13293
ATP-binding cassette sub-family A member 8,K05643
Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1,K04955
Probable casein kinase II subunit alpha homolog,nan
Putative uncharacterized protein,K13073
Fucolectin,K19760
Putative 2-hydroxyacid dehydrogenase UNK4.10,K02880
tRNA(Thr) (cytosine(32)-N(3))-methyltransferase,K00599
Mitochondrial intermediate peptidase,nan
Translational regulator CsrA,nan
3-ketoacyl-CoA thiolase,K00626
Urokinase-type plasminogen activator,K01312
Prenyl transferase,K12504
PRKR-interacting protein 1 homolog,K10640
ATP-dependent DNA helicase PcrA,K03657
Mitochondrial acidic protein mam33,nan
Uncharacterized HTH-type transcriptional regulator YddM,nan
Uncharacterized peptidase SAR1786,K01262
Rho guanine nucleotide exchange factor 16,K07525
Lipopolysaccharide core biosynthesis protein RfaG,K12035
FMN reductase (NADH) RutF,nan
Zinc transporter zipt-7.2,K14713
Acetyltransferase YpeA,nan
"54S ribosomal protein L6, mitochondrial",nan
Uncharacterized protein C24H6.02c,K17808
Putative uncharacterized protein,K03934
Pituitary homeobox homolog Ptx1,K04686
Ribitol transporter,nan
Ras-related protein RSR1,K04353
Protein Notchless,K14855
Tellurium resistance protein TerE,nan
4-hydroxyphenylacetate 3-monooxygenase oxygenase component,nan
Phosphomannomutase,K15779
Inactivation-no-after-potential D protein,K10848
tRNA-(ms[2]io[6]A)-hydroxylase,nan
Telomerase reverse transcriptase,K11126
Probable cytochrome oxidase subunit 2,nan
Putative uncharacterized protein,K23011
G-patch domain-containing protein C1486.03,nan
dCTP deaminase,K01027
Chymotrypsin-elastase inhibitor ixodidin,nan
Beta-glucosidase 1B,K01229
Sodium/pantothenate symporter,nan
Kelch repeat and BTB domain-containing protein 3,K10442
Inner membrane protein YjcH,nan
Vacuolar fusion protein MON1 homolog A,K20195
Putative uncharacterized protein,K14290
6-aminohexanoate-cyclic-dimer hydrolase,K02433
Putative uncharacterized protein,K16463
Inactive atromentin synthetase invA3,K18660
"Solute carrier family 2, facilitated glucose transporter member 12",K08144
Structural maintenance of chromosomes protein 1B,K06636
Choline dehydrogenase,K11173
Uncharacterized protein HI_1420,nan
2-(R)-hydroxypropyl-CoM dehydrogenase,K13370
Extracellular matrix protein 2,K24492
Cytochrome bo(3) ubiquinol oxidase subunit 1,nan
Homeobox protein MSH-B,K09341
"Probable arabinan endo-1,5-alpha-L-arabinosidase D",nan
Dihydrofolate reductase type 3,nan
CKLF-like MARVEL transmembrane domain-containing protein 4,nan
Phosphatidylinositol transfer protein beta isoform,K24069
Extracellular sulfatase SULF-1 homolog,K14607
NADPH:quinone oxidoreductase MdaB,nan
Glycerol uptake facilitator protein-like 6,K09884
Copper-transporting ATPase 1 (Fragment),K17686
Poly(A) polymerase gamma,K10848
Protocadherin-16,K17515
Ectoine/glycine betaine/proline transporter EctP,nan
ADP-ribose glycohydrolase MACROD1 (Fragment),K23518
Homeobox protein prophet of Pit-1,K09327
Isoxanthopterin deaminase,K01487
"Aldehyde dehydrogenase 5, mitochondrial",K23234
Dihydroorotate dehydrogenase A (fumarate),nan
Cyclic nucleotide-gated cation channel,K04910
LINE-1 reverse transcriptase homolog,K04348
Glutathione peroxidase,K05361
Putative uncharacterized protein,K18245
FAD-dependent oxidoreductase oblC,K16055
Uncharacterized protein YisK,K01557
Putative acetyl-CoA C-acetyltransferase YhfS,K00626
Clotting factor G beta subunit,K01346
EF-hand domain-containing family member C2,K23029
Squalene monooxygenase SE1,K00511
Probable polyamine oxidase 4,K12259
Neural-cadherin,K04600
